questionType,question
yes/no,are fridge water filters universal? I have a kenmore fridge - and the filter is on the bottom left of the fridge look like what it is shown in the pic
yes/no,"Instructions say to turn off water valve before installing, meaning refrige would have to be pulled out from enclosure each time. Is this true?"
yes/no,Is this Machine Ventless?
yes/no,Will this work for Kenmore 110.68722700 ?
yes/no,Does this fit a kenmore model 795.7032?
yes/no,"4 humidity sensors around the house (Honeywell IAQ tstat, Accu-rite sensor, and 2 Nests) all read 45-48% RH. Amprobe reads 57-59%. Did I get a dud?"
yes/no,"My broan range hood model is 42000EX-L, 220/240 volts, 50/60 hz, 2.5 amps, date code 89J, &amp; fan diameter is about 6"". Will your item fit? Thanks!"
yes/no,do you have to have special pans for the induction stove top?
yes/no,Did GE get the issue fix that leaves black marks on clothes?
yes/no,Will Whirlpool XHP1550VW pedestal fit Maytag Maxima Model #MED5100DW?
yes/no,Can u fit a slim 1/4 and a 1/6 together?
yes/no,My old stove has a griddle that I use all the time; does Bosch make a griddle that fits on the stove top?
yes/no,Will it fit kenmore Elite fridge model #401.41003011?
yes/no,Does this replace part number PS2097160 gasket for a Maytag Dishwasher?
yes/no,"We have a Kenmore ultra fresh model 106.56666501, is this the right part?"
yes/no,Is there a trick to installing this? Water is not coming out through the filter after installation.
yes/no,DOES IT FIT AN AMANA FRIDGE MODEL BZ22RL?
yes/no,does it has a cord
yes/no,Will this fit Maytag MFW9600SQ0?
yes/no,Can I use it inside of a washer? Paint got off little and it causes rust.
yes/no,Does Proslat work with Gladiator Garage Works products?
yes/no,"Does this unit have external sensors?if so how many,am looking for one to use specifically in a Greenhouse."
yes/no,will it fit Frigidaire fef366awa
yes/no,"Will this work for those really hard-to-dry pesky water bottles and lids? If so, it would be worth it's weight in gold..."
yes/no,Does it fit JennAir model C202?
yes/no,does this actually work as an amp ?
yes/no,Is this replacement for Frigidaire part 316199900?
yes/no,is this a full size tub?
yes/no,Does this model have the damper included for the seven inch duct.
yes/no,Do I get a pair for the price of 19.99
yes/no,Does it fit Kenmore Model 110 13202200?
yes/no,can the unit be vented out of the wall and not the roof
yes/no,does it have a lock?
yes/no,Is this product compatible with Kenmore Elite Refrigerator 79572063112 ?
yes/no,Are the knobs plastic?
yes/no,Is this compatible with Heating element GE 229C5216P001 Model 501A 0822? This is for a GE Gas Range JGSP28BEK5BB. Thanks
yes/no,"I have GE Range Model #JBS55DM2WW and I am looking for Smooth top element front right. Will this 8"" fit my model?"
yes/no,does it come with the front pieces too?
yes/no,"I have bought this product before, and would now like to buy just the ""sticky"" pads. Can you refer me to the right purchase option. Thanks"
yes/no,will this work with Kitchenaid KUD102FRSS2 ?
yes/no,will it fit whir;pool model # wtw5640xw0 ?
yes/no,does this fit maytag
yes/no,Does it get rid of kitchen smoke...that's what I need. My kitchen doesn't have an exhaust fan and every time I cook it smokes up the house.
yes/no,"hello, are these nachi bearings? thanks"
yes/no,"Does this do a good job of felting hand knit woolen items, like slippers or mittens?"
yes/no,"This add is confusing, is it really for both the washer\dryer and stands for $945.95? Do not want to assume and cause an issue ordering."
yes/no,"The accessory that it came, it had a screen plug with some pins on the other side.Can any one who ordered it to tell me what is that for?Thanks."
yes/no,We live in Toronto where the temperatures drop below zero. Would this unit be design for a colder climate?
yes/no,Does this unit release any ozone gas that could be dangerous to breathe?
yes/no,does it replace the DA29-00020A?
yes/no,Does this cooktop require a power source?
yes/no,"Say I wanted to put this under a table, yet run a tube thru a hole in the table, and have my tower/tap on the tables surface. can i do that?"
yes/no,Is this a universal range element that will fit even a kenmore electric range?
yes/no,Does this motor come with a small drive pulley that goes on the end of the shaft for the belt? I don't see one in the picture...
yes/no,Would this fix a squeaking noise when the agitation changes direction?
yes/no,Is this machine very loud?
yes/no,Will this work with a microwave serial # TR U 50 42971?
yes/no,"will these fit an older maytag? My apt.has a beige and black maytag with a self clean, but has the old style clock, want to make these will work, haven't seen any other sizes so these are probably it. thanks for any info."
yes/no,does any one know if these fit kenmore
yes/no,"Is there a way to turn off heated drying? All I have is a ProDry button and it doesn't even light up when I press it, but heat runs with every wash."
yes/no,Will this work on Whirlpool model GX5FHTXVY010?
yes/no,Does the dishwasher have any kind of drying feature?
yes/no,Does this machine get installed under the counter? I need to replace an under counter washer...
yes/no,I need WR60X10043 197D2039p006 and this device looks just like it. Is it the same compatible device?
yes/no,From one customer's review they say the pans will not fit GE. Is this true?????
yes/no,Are these the same as BWF100P?
yes/no,Will this work with the wm2350hwc model dryer?
yes/no,do these come with a standard warranty besides the one available for purchase?
yes/no,Will this set fit GE model GFDN110GL0WW gas dryer?
yes/no,Replacing residential electric refrigerator in rv without an outside access panel. Does this refrigerator require outside access?
yes/no,Can the Cavaliere UC200-1830 Under Cabinet Hood can be installed with horizontal venting from the back of the unit? No up-vent. possible in my kitchen
yes/no,Will this work for the JB700S N1SS range?
yes/no,does it come with a cord
yes/no,I have a Kenmore Elite refrigerator with replacement cartridge of 5231JA2006A. It looks identical to the replacement pictured. Would it fit?
yes/no,Does it come with the spacer for the top of the counter
yes/no,Will this fit the Frigidaire model PHSC39EGSS1?
yes/no,Is the tub stainless steel also?
yes/no,"Will this fit Whirlpool #325FDAB02? It's the same part number I got from the place where I purchased the refrigerator, but I don't see this model num"
yes/no,Does this filter fit model V3800 ?
yes/no,Will this work with a Jenn-Air Model S105?
yes/no,do you still get floride in your water
yes/no,Does it come with hose
yes/no,is it possible to run vent for air leaving this thing into bath fan vent line?
yes/no,does this cartridge #4396508 replace #4396547
yes/no,Does it work with Kenmore humidifier?
yes/no,my Wirlpool modle is GHW9150PW0. will this pump is correct part?
yes/no,Will this fit Roper model RTW4440
yes/no,does the handle fit lftr1814lwl
yes/no,"Hi, will this fit a Whirlpool Upright Freezer Model #EV171NYMQ05 (made in Canada)? Thanks."
yes/no,does it use batteries
yes/no,Could failure of this part cause a slow leak and weak (uneven) agitation?
yes/no,will this replace my kenmore 10626636
yes/no,will it work in my wd 52631?
yes/no,Can the door open to the left
yes/no,is this rated for outdoor ?
yes/no,Is the front of the refrigerator magnet friendly?
yes/no,Is this kit the Thermostat and the Thermal Fuse as show in the picture?
yes/no,Will it replace whirlpool 2199838?
yes/no,will this fit Kenmore Elite HE 3t Model No. 110-42926-200
yes/no,Is it the same as 5231JA2006B
yes/no,Does it have FM Radio?
yes/no,Does this range include the necessary 220 power chord? If not will you give me the name or number of the connector.
yes/no,Can the light be turned off?
yes/no,Does this assembly also work for GE washer?
yes/no,Is it recommended to put gravel down before setting the pavers?
yes/no,Can it be mounted outside for a Florida home (Stays above freezing) on a well? Our piping is run under the foundation so no place to install inside.
yes/no,is it loud
yes/no,Would this model be ideal for a gun safe?
yes/no,"Can this be set to alarm when the temp drops to a certain temperature, a freeze alert?"
yes/no,"HI my refrigerator is white on the inside, do you have your shelve AP2116036 in white ? i dont want any other color or it wont match"
yes/no,"Is there any way to get the doors to close tight? They pop back open and need to be manually closed. Had it checked out and the repairman couldn't see anything wrong, including the leveling."
yes/no,Is the depth 27 inches?
yes/no,Can this unit be converted to dispense wine and how to convert?
yes/no,can it be switch in Fahrenheit as well as C?
yes/no,i can't see what rev this is. will it work with rev d?
yes/no,Can you put pots and pans in it?
yes/no,"Has anybody kept this in their garage, if so, how did it hold up with regards to frost build up and keeping things frozen? I live in a warm climate."
yes/no,will this work on whirlpool model 10289944
yes/no,"I know from the descriptions, the dimensions are 21.3 x 26.6 x 33.2 inches. Is 26.6"" from front to back?"
yes/no,"When this product is shipped to my house (in it's package) will it fit thru my 30"" wide door?"
yes/no,can someone clarify which symbols go with which wash cycle? the manuak seriously needs a rewrite.
yes/no,will it work on model sf362lxsq ?
yes/no,Does it have built-in downdraft ventilation?
yes/no,"Hi, is this a replacement for GE MWF filters?"
yes/no,Will this work on my Whirlpool LER4634EQ1?
yes/no,Can I use this machine in Chile?
yes/no,will this kit fit model #LGR7646JQ0
yes/no,Does this come with the drip tray and chrome rail?
yes/no,IS COMPATIBLE WITH RSG257AA/XAA
yes/no,Will the GE WB13K21 igniter fit GE Profile slide in gas PGS975SEM1SS? Thanks!
yes/no,Does the tank come with the gasket kit?
yes/no,will this fit a Maytag dishwasher model number MDBTT60AWW also is it white ?
yes/no,Has anyone had a problem with the water going cold and having to shut off the water and restart? I had an older Excel and it had that issue.
yes/no,"the connection the water comes in on cracked, (plastic), Does this piece come with it?"
yes/no,can the oven work with propane gas only
yes/no,Does this range require a countertop along the back?
yes/no,Is this the correct element for GE Range JBP80SK2SS?
yes/no,Will the adhesive work with a brick wall?
yes/no,Does this fit drain pump samsung wf328aaw
yes/no,Is this the filter for Kenmore part number 569AF12538AEB
yes/no,When I changed battery in my unit. It reads 15% RH and never changes from that reading. Is there a reset button . I changed batterys twice now to s
yes/no,Does this dishwasher require strong water pressure from the faucet to function properly?
yes/no,Has anyone used this on a Frigidaire Front Load Washer (08/2013)?
yes/no,"In the product picture above, is that yellow pump casing supposed to have any water inside?"
yes/no,Are these black? Almost look dark green on my screen/
yes/no,Is this part compatible with the Kitchenaid Dishwasher model #KUDK03CTSS2?
yes/no,"Does this hold the standard normal keg? I drink keystone 1/2 kegs and im not quite sure what they mean by Does NOT support use of Coors, Miller rubber"
yes/no,dOES THIS WORK FOR SELF CLEANING OVEN?
yes/no,"I want to roll it in front of my sink, hook it up to the faucet, plug it in, and run it. Does the portability kit have a long enough hose?"
yes/no,"This items states free shipping, but when I go to check out it is adding a shipping cost of $5.58. Is this a free shipping item?"
yes/no,"Is this a ""push on"" infinity switch that replaces JennAire part num. inf-240p-871 ?"
yes/no,Does this range have a down-draft?
yes/no,"Does this filter the same as Protec Filter 3/WF-813, which is recommended on the side of my ReliOn humidifier?"
yes/no,Will this work for my JBS030N1AD
yes/no,can you use this non-ducted?
yes/no,"When it says ""1/2 inch i.d."", is this the inner diameter of the stainless steel hose itself? I want small diameter hose for flexible movement. Thanks!"
yes/no,will knobs fit kenmore#362.75275692
yes/no,Does it replace 641425
yes/no,"Can anyone verify that this is the correct kit to add an icemaker to a Whirlpool mod. # ET18GK ? And if so, does this contain ALL parts for an add-on."
yes/no,Will this work in a kenmore top mount model 795.7943*
yes/no,"could this work instead of part 4452807, a discontinued oven rack for kitchenaid range KDRP407HBU10?"
yes/no,Is any hardware included?
yes/no,will these burn at high tempature
yes/no,Would you recommend this for a 2 Speed Range Hood (Electric Range) Fan to control fan speed?
yes/no,Do these work with whirlpool model wfw9640xw00
yes/no,will this fit model # tc20g-w mfg #p75535-3ww?
yes/no,has anyone used it with a firgidaire refrigerator?
yes/no,will it fit model fef366dca
yes/no,Do these fit a Broan Rangemaster model # 643604?
yes/no,Will this work as a substitute for a Frigidaire 242077701 Blower Motor?&#xFEFF;
yes/no,Can I use this in a Waste King Disposal? The one that I have does not allow water to drain.
open-ended,Please provide me with dimensions of this cooktop cover. Thanks.
open-ended,"Help, I am having a mold problem with my summit is anyone else experiencing this problem???"
open-ended,How many gallons does it filter?
open-ended,Does anybody know the inside dimensions?
open-ended,I ca't tell the color of the Hood? Cooper?
open-ended,my whirlaway 191 got stuck. How do you unstuck it?
open-ended,Will this work with Hotpoint Dryer Model nvlr333etowb? Does it come with the frame?
open-ended,What size cut-out for this?
open-ended,how is this range hood horizontal
open-ended,what is the actual SHORTEST wash time? I do a lot of smaller loads and can't wait 45 minutes for them to finish. thank you.
open-ended,Where do I get replacement filters now that this company is out of business?
open-ended,Where does the water come in on the back of this unit? We were trying to prep the area for the water and didn't know where do put the water lines :o)
open-ended,"What does it mean to be ""Fully integrated"" (versus the others that are ""partial"")?"
open-ended,what is the amperage rating on this ?
open-ended,Does anyone know the operating frequency? Is it 433 mhz? I'm considering buying this cheap starter system and expanding with generic accessories. Thanks.
open-ended,How long do I need to wait before removing the concrete on the mold? How many minutes?
open-ended,does it come in black or stainless steel
open-ended,"How do you reach the top controls when stacking the machines? Thanks, Pat"
open-ended,Are these just stainless steel tape over a plastic knob? Or solid? The original ones were the taped kind that bubbled up when the broiler was used.
open-ended,"GE refrigeratormakes ice cubes, but will not dispense them?"
open-ended,After replacing this part my oven randomly turns off and on while baking. Could this be a defective part? Or a different problem?
open-ended,Spin Dryer too loud. Anyone else notice too loud to use and impossible to balance?
open-ended,Is this the satin stainless steel or the matte brushed nickel finish?
open-ended,"Does this gasket fit GE washer WBVH5200J1WW? GE on line technician said that ""The part you are inquiring about is WH08X10036. It is priced at $189.25 , WITH 20% discount."" Same parts?"
open-ended,"What is the propane gas ""operating pressure"" needed by this cooktop (should be listed as: WC=water column inch, mbar, or PSI )?"
open-ended,"I bought this product because it was cheaper than the Samsung filter. It does fit , but the problem is that my water has a strong chlorine taste to it"
open-ended,DOSE THIS NUWAVE 2 . STAY AT 40c on the low setting . IT is 49c . THE Thermometer says so .
open-ended,Is this freezer self defrosting or manual defrosting?
open-ended,dos this come with everything you need to install with 9 foot ceiling?
open-ended,HI! Is this hard-wired or plug-n-play? Also--are you still happy with the fan after time has passed?
open-ended,how can you stop the washer from draining out when you want to add an item?
open-ended,Is this griddle Cast Iron or does it have a non-stick surface on it?
open-ended,i can only get 20 lb tank is it possible to have the co2 tank on the outside? and if so where is a safe place to drill?
open-ended,"How can I get instruction book to install the hood, therewas no book in a package?"
open-ended,Can you tell me if the gentle cycle is in fact delicate on clothing? Worried the agitator might damage delicate &amp; expensive clothing. Thank you!!!
open-ended,What are the cutout dimensions?
open-ended,good day .. This kit is how are you in the picture
open-ended,how many cables come in package?
open-ended,How do you deliver this product (pump)? I do not recieve USPS at physical address and UPS does not deliver to P.O. Box.
open-ended,Is it hard wired or plug in?
open-ended,Are the button controls underneath the hood or on the front? I can't tell from the picture.
open-ended,doest it have volume control?
open-ended,how long is the warranty?
open-ended,Is using bleach and hot water an issue? Or is the alternative Oxiclean? I have a lot of whites that need to be thoroughly cleaned.
open-ended,how do i set the regulator pressure when i turn on the tank it shoots up to 50psi and when i turn the adjustment knob it wont drop
open-ended,"Does this include propane conversion kit? If not, do they manufacture such a kit?"
open-ended,What is the size of the ice-maker?
open-ended,"Seeing mixed messages re: depth (20""- 24""). With hoses connected to washer hook-ups, how many inches from wall to front of the machine?"
open-ended,"Some reviewers have said this rack is ""flimsy"". I don't want to take a chance and order if it's not as sturdy as original. Comments?"
open-ended,"I see a lot about testing for CO2 levels, but what about testing for formaldehyde?"
open-ended,How do you defrost the freezer...where does the water go??
open-ended,"How tall is this machine? Does it have several washing modes (i.e. normal, gentle)? Also how does it drain? Thank you."
open-ended,dimensions?
open-ended,what is it's dimensions?
open-ended,How well does the ductless install work to remove cooking odors?
open-ended,hi will it fit whirlpool gh7145xfb-1 grille
open-ended,How thick are the grates? A similar GE cooktop has grates that are too thick and prevents the flame from contacting the bottom of cookware.
open-ended,We have a solar and battery setup with charge controller and inverter. Can we hook freezer up to charge controller or do we hook to batteries?
open-ended,"What is the size of the drying drum in cubic feet; in other words, drying capacity?"
open-ended,Do the edges need rubber feet to ward against countertop scratches? What material is the cover made of...20 gauge steel?
open-ended,what are the dimensions?
open-ended,Can someone tell me the dimensions of this dishwasher for height without the rollers?
open-ended,I tried to plug the cooktop but it gives me a scary spark. Why? What should I do? Any customer service available in the Honolulu area?!?
open-ended,I need a fridge lock to deter burglars. Are the square plates that atatch/stick to the refrigerator metal or plastic?
open-ended,Mine will not stick to the refrigerator. How do you make this happen?
open-ended,Does the ice come out with an off smell or taste from the inside of machine being all pastic?? I just bought a different brand with this issue??
open-ended,why did my humidifier stop emitting vapor?
open-ended,What are the grayness made of? Thanks!!
open-ended,what are the dimensions of the oven?
open-ended,"Does the filter actually need to be mounted to a wall, or will it function normally laying on the ground behind the fridge?"
open-ended,"I understand it only displays military time, but have had no success even setting that correctly.. Any advice..?"
open-ended,I don't know how to set the timer.
open-ended,"Hood keeps going off by its self, anyone else have this problem?"
open-ended,What are the outside dimensions of the freezer?
open-ended,"Last 2 filters we bought ""lasted"" almost exactly 6 months. Is our usage that consistent? Or does the change filter light come on every six months?"
open-ended,How much ice does the hopper hold at one time
open-ended,FXUSC
open-ended,What's the diameter of this element?
open-ended,I bought these for the Honeywell hwm-950 humidifier and they don't 'fit' well anywhere. It moves off the heating disk when you replace the tower. help
open-ended,"Why is this listed as 42-inch hood but product details say 45""? Which is it?"
open-ended,can I replace the whirlaway 191 with the whirlaway 291? are the outside dimensions the same? I have a dishwasher and no extra room!
open-ended,"My daughter has this dryer, it has not worked for a year. The repair people say they are unable to get parts to fix it."
open-ended,Can I have two different flavor kegs and have each valve give me a different flavor beer? Also can I change the tap handles?
open-ended,Is there a back light? What is the warranty?
open-ended,"With my current replacement water filters, If ice is allowed to melt and get to room tempt, water smells and tastes bad. I'm looking for a better replacement filter that filters out more."
open-ended,Is this actual stainless steel or painted? Has anyone noticed any problems with rusting? Thanks.
open-ended,"Does this Portable Comfort Control come with the base unit? If not, then what do I need to have to controller communicate with to start the furnace?"
open-ended,found the f/c button on the back under the fold out stand can anyone read and understand those instruction?
open-ended,for $9.75 plus shipping set of 2 or set of 4?
open-ended,What color is this dish rack? It says avacado but the picture is of a white/ clear rack...
open-ended,How many amps does it draw?
open-ended,How much electricity does it use in comparison to the regular electric stove?
open-ended,So we put an entire packet into what you are about to seal? Making baked goods to ship. Will these help our goods stay fresh longer while shipping?
open-ended,"Why is this Electrolux so heavy at 75# and a similar 30"" 5 burner cooktop from GE weighs 39#?"
open-ended,What is the inside diameter of this hose?
open-ended,What is a cycle? Is it one tray or until full?
open-ended,Does this come with the back hinges and scres so it can be attatched to the back of the cooktop?
open-ended,Can u use this fridge in a RV or travel trailer?
open-ended,leak
open-ended,"How heavy is the base? If I have this sitting above the dryer on the back of the washer, will it topple over?"
open-ended,Must you use halogen bulbs?
open-ended,Is the pump exactly as pictured or is the angle of the output tube rotated about 75 degrees (pointed upward when viewed from the angle in picture)
open-ended,"I locate another brand but is exactly like this, except for the wireless control, It's sell by Cosmo Kitchen Appliances in CA is it the sameone?"
open-ended,to shut off ONE burner is there an on-off button. do you have to press and hold it down as it drops from whatever setting you were cooking at until 0?
open-ended,How does it do washing cloth diapers?
open-ended,why is there a rubber ring around the hygrometer?
open-ended,Do these filters have a metal piece in them or are they just the white filter?
open-ended,What are the fiting sizes on this?
open-ended,We have 10-foot ceilings so we need an extension. What are the chimney dimensions? Which extension from therangehoodstore.com would work?
open-ended,what is it made of can you wash it
open-ended,filter replacement
open-ended,The CFE29TSDSS is supposed to have hot water capability but the description does not mention it - is this the correct model?
open-ended,How many inches from the back of hood till the front screws? My under cabinet board is only 11.5 inch deep.
open-ended,is the finished brushed SS? can you dim the led lights?
open-ended,what is the measurement with the door open 90 degrees?
open-ended,I have a Kenmore Model # 362.75875690 Will this part fit? Thank you.
open-ended,"So do you roll it out towards the sink when you want to run it? The hoses come out the back of the unit, right?"
open-ended,how many amps / watts does this unit draw?
open-ended,proper re-placement of filter and fill up?
open-ended,"After purchasing, how long can I delay delivery?"
open-ended,What are these drip pans made from? GE says there should be a difference between the left and right because of the curvature at the top outer corners.
open-ended,are all the grates level or contoured?
open-ended,Could you please tell me the diameter of the knobs?
open-ended,"How many wires, what are the voltage requirements?"
open-ended,"Are these actual OEM replacements (blue hubs), or a knockoff?!"
open-ended,How easy is it to move around? Is it very heavy?
open-ended,"I got my Whirpool Cabrio in 2006, it's still working great but is rusting on the inside rim and I'm wondering why?"
open-ended,whirlaway 191 will it be comparable with the whirlaway pro 184 an esay to install?
open-ended,"Thin/flexible duct causes fires, death? Use semi-rigid instead?"
open-ended,the full width drawer is stuck help pleaseon our Samsung 297hd
open-ended,How does the oxygen indicator work? Is pink good or is pink bad?
open-ended,what are the dimensions and is this 110V?
open-ended,what type of stainless steel is this???
open-ended,What size are the letters? What size is the head (total)?
open-ended,How can I tell they are working
open-ended,Need door latch assembly for FDB251BLCC1 MFG# 74005675?
open-ended,can this be used without any modifications or cuts on a 9' ceiling?
open-ended,what is minimum width that this unit will fit. I want to make sure it will not be too tight to fit
open-ended,I have a Kitchenaid Superba side by side model KSCS25FKSS02 will this filter fit?
open-ended,What brand and how much detergent should be measured for one use per load ? Low sudsing detergent ? Powder ?
open-ended,I have my Universal license will a photo copy of that be ok all the forms i've stored in one of many of boxes this is what I always use locally
open-ended,what is the size of the duct vent
open-ended,What is the minimal allowable clearance between top of a gas range and bottom of this hood?
open-ended,What are the INTERIOR dimensions of this product? I need to know if it will accommodate my large dinner plates. Thank you!
open-ended,"Anyone know - Can this paint safe with high heat, as the two big chips I need to fill are along the top edge next to a burner?"
open-ended,Can you put the CO2 tank inside the kegerator or does it have to be mounted on the back?
open-ended,"What would be necessary to run it on propane? Also, the answer below mentions 5 burners; there are only 4."
open-ended,How do you install the 4317943 Whirlpool icemaker?
open-ended,The part number in the description and the part number in the item title *ARE DIFFERENT PART NUMBERS*. Which is right?
open-ended,What are to over all dimensions for the 1041 filter
open-ended,is this for propane or natural gas?
open-ended,how high does the hood raise?
open-ended,What do you use on the item to be hung?
open-ended,We need a low profile hood to mount above an island. Is this unit wall mount (we hope not)? Is the backside finished so that it can be left exposed?
open-ended,Is the black semi-gloss in color or dull? thanks!
open-ended,Will this fit a Kenmore 106.61192101? And does it come with bracket or fan blade?
open-ended,"I got this cooktop recently, but there is about 1/2 inch gap between the cooktop surface and the control knobs...is this normal?need to force it down?"
open-ended,"What shape are the ice cubes dispensed? In the picture above, they appear to be like cubes rather than the half moon shapes normally produced."
open-ended,what is the dimension of the bottom of the dispenser?
open-ended,"Each water supply is different, but in general how often does the filter need to be replaced vs. regular cleaning?"
open-ended,"Does the grill come with it or is it extra? If it is extra, how much does it cost?"
open-ended,Does anyone know how many amps this refrigerator uses?
open-ended,Does this use filters ? I was looking for filter free cool/warm humidifier ?
open-ended,What is theWidth on this unit?
open-ended,This item has a smaller ice maker. Does it make ice quickly? Is the ice always empty after use?
open-ended,commercial gas range
open-ended,how does it attach to garden hose?
open-ended,"Hi, I would like to know if this fan works for Refigerator MODEL PSH23PSRA SV SERIAL SG416993. I bought the fan WR60X10154 and it didn't worked."
open-ended,I need to know if #316075103 and #AP3035427 are the same?
open-ended,I PURCHASED OXY SORB 100CC had no knowledge of use of. Opened pack took some out.. Unused ones got hot &amp; indicator purple. R they now bad
open-ended,frigidaire gallery 2435
open-ended,Does this unit have a fan in it? Does this unit stay cool enougth on the bottom/sides to use on a dinner table? I want to use it for Shabu Shabu.
open-ended,How big is the opening through which you put clothes in the dryer?
open-ended,"If no power cord is included, how do I plug in the disposal unit?"
open-ended,is there any alarm during high or low temp.?
open-ended,What are the dimensions in inches or centimers of the bags themselves? All of the picutres show the BACK side of the box without that critical info.
open-ended,"cordless screwdriver: for the life of me,i can't figure out how to chuck a drill bit in this thing.my drill bits are round.how does this thing hold them?"
open-ended,how many pounds can i put in ?
open-ended,The picture illustrates this part as 240v but I need to make sure it's 120v. Can you please tell me if this part is 120v?
open-ended,what country was this manufactured in?
open-ended,how do you replace the pump
open-ended,removable shelves?
