questionType,question
yes/no,Is this a universal range element that will fit even a kenmore electric range?
yes/no,Will this cap fit model KUDS301VSS2?
yes/no,is this unit regulated and linear? I will using it on an electrostatic energizer amplifier (Stax srm-323s)
yes/no,will this replace a (700854-4 part no.) jenn.air knob?
yes/no,will this fit Thermador (OEM: Bosch) older cooktop?
yes/no,Does this part work on DLGX 3571W steam dryer
yes/no,"Will these fit a Tappan electric stove? Older model, no model number, 20 yrs +"
yes/no,will it fit 8.5 inches long and 5.5 inches wide
yes/no,would this battery work for a devilbliss unit?
yes/no,does the kit come with a retaining ring / e ring ?
yes/no,Will this unit fit my Kenmore 911.93508990?
yes/no,Will this product replace GE # WR30x10093 ice maker in my Whirlpool fridge?
yes/no,I've seen that several people have mentioned the backsplash is smaller than 30 inches wide. Has that problem been addressed recently?
yes/no,"can the 4x10 duct be reduced to 6"" round safely or will it reduce flow too much"
yes/no,Can I purchase the extension for a 10 ft. ceiling from this site? Unable to find.
yes/no,Would this pan (with washing machine on top) slide over carpet easily?
yes/no,Is this compatible with model # BAR888A?
yes/no,could this be installed on 7' ceiling?
yes/no,will it fit whirlpool model # GHW 9250MLO?
yes/no,Can this be mounted under the counter?
yes/no,I'd like to use this hygrometer to keep track of the humidity in my acoustic guitar's case. Do you think it would work well for this purpose?
yes/no,Is this the same as p/n 297241800?
yes/no,Will this work for Kenmore 110.68722700 ?
yes/no,my filter# is 4396841 - it looks like the above but a different #. It is a Whirlpool. Are they the same?
yes/no,"I know from the descriptions, the dimensions are 21.3 x 26.6 x 33.2 inches. Is 26.6"" from front to back?"
yes/no,Will this work for Frigidaire model
yes/no,can the freezer door be reversed to open the opposite direction?
yes/no,"helo, will it fit Kenmore 106.78862891 top freezer model"
yes/no,Laundry Alternative has this Nina Soft Spin Dryer with 1800 rpm and another spin dryer with 3200 rpm and the latter holds a little more. Can anyone give me any info comparing the two? I don't know which would be better.
yes/no,Has anyone used this on a Bosch dishwasher?
yes/no,will this fit for model 110.66902691
yes/no,is this part compatable with matag mgd4200
yes/no,"I have been looking for griddle part numbers for my gas range model JGB690SEFSS, five burner convection oven. Will this fit?"
yes/no,will this fit model GLHS37EHSB2
yes/no,is it 110v?
yes/no,Will this fit the maytag quiet series 100 dishwasher?
yes/no,Does it make your electric bill high?
yes/no,Have whirlpool lde6400w1. is this correct element ?
yes/no,"is anyone using this in a Vicks v3900? I know it says it fits the model, but the filter that came with mine was flat, not a cylinder."
yes/no,Is it safe for septic tanks?
yes/no,"is this assembly fit LG dryer model DLG5988B? It is an urgent, Please let e know soon"
yes/no,Can this be rear vented
yes/no,"WRT371SZ whirlpool 20.1 cubic feet refridgerator, has top freezer without icemaker. Will this fit? I dont need a replacement, wish to add an icemaker"
yes/no,Are the shelf heights adjustable for this unit? Thanks!
yes/no,can i use cast iron cvookware
yes/no,would this fit a Whirlpool WRS325FDAB 25.4 Cu. Ft. Side-By-Side Refrigerator?
yes/no,"253.54622402 model kenmore aka galaxy fridge icemaker, will this one fit/work as a replacement? thank you!"
yes/no,WILL IT FIT ON MODEL ET22PK
yes/no,does it fit model # ei26ss55gs0
yes/no,will this pump work with wm2101hw
yes/no,"Is this an ""infinite"" switch, meaning it will rotate both sides from the ""off"" position? That's how the original one operates on my range. Thanks."
yes/no,Do I need to tear off the black outside before I put the new filter into the machine?
yes/no,Will it work in a Whirlpool? Model number is the same.
yes/no,Can the cooking grate be removed from the ring?
yes/no,is this frig frost free?
yes/no,Will it fit a Jenn Air JE3842XRW
yes/no,Will this work with a Kenmore Model # 41153 side by side?
yes/no,"I have a Whirlpool, lint filter #693846, would this one fit?"
yes/no,My filter is actually a 5231ja2006B (instead of 2006A) but I don't see those for sale anywhere. is the 2006A model interchangeable with it?
yes/no,Is this a once a year filter
yes/no,will this filter fit model kenmore #59673503201?
yes/no,can i just plug it into the wall.
yes/no,"will this work on a roper IM#s 106 626636, ice maker has stopped working?"
yes/no,Will it work with Frigidaire model GLER642A53?
yes/no,is the price for all the fourt drip pan
yes/no,Is this a counter depth refrigerator?
yes/no,Will these filters work with the KitchenAid Model #KCM223CU0?
yes/no,does it work for lg water filter 5231JA2006F
yes/no,Will this fit a Kitchenaid kuds30fxsso?
yes/no,I own the mk5 TT. Do you also sell the correct hinges that mate the mk5 with this dust cover? Thx.
yes/no,Will this work for the JB700S N1SS range?
yes/no,does this fit a model 60 with dark top?
yes/no,Is this 12 wide by 17 high?
yes/no,can this top replace the old electric top on the stove
yes/no,Does this assembly include the motor? Thanks.
yes/no,Do the ice cubes have holes in them?
yes/no,will this part fit a CSX27DR Side by Side Hotpoint Fridge
yes/no,I have the Can25 WR30X10093 and it makes hollow ice. Is this one going to do the same thing after replacing it?
yes/no,Does it come with calibration certificate?
yes/no,"Could this Infinite switch ""part 314900"" be used for Whirlpool electric range model number RF395PXX to fix its 8"" burner?"
yes/no,"Is the filter a number 94124 for models 33201,33202,33222,37201,37202?"
yes/no,will this item work with model number jgbs22beh4wh
yes/no,will this be replacement for holmes model hm 1745 filter? Dimensions 61/2 x 19 x 1
yes/no,"can this motor be used in place of we17x32 model dblr333eg6ww. the motor swich is bad in my unit, not sure is i can get a switch to buy by itself"
yes/no,"I have a FRS26R2AW5, does this filter work for it? Thank you for your reply!"
yes/no,is it suitable for a family of 5?
yes/no,Did anyone find out the actual length of the handle?
yes/no,Is this full sized
yes/no,Will this work with sears 758 144521
yes/no,does it have an interior light
yes/no,Will this rack fit GE Toaster Oven 169220 53?
yes/no,are these fit jbs27wc1ww range?
yes/no,"I need a device to let my dryer vent out, I live in small apt, very hot-humid weather, No AC. Would u recommend me this?"
yes/no,Is this compatible with (46 9930) filter for kenmore fridge
yes/no,DOES IT BEND UP IN THE BACK?
yes/no,Does it come with mounting screws?
yes/no,Do I need a special Power Cord to plug this and the non-duct kit into a standard wall outlet?
yes/no,will these fit our kenmore pro range duel fuel Model# 790-79623700
yes/no,Will this work on a Kitchenaid model KEYE670B?
yes/no,is it possible to take the wheels off so that i can keep the tubes always out ready for use without moving the dishwasher?
yes/no,Is this an electric start range?
yes/no,"Does anyone have the ""load unbalanced"" problem when you put heavy towels, etc. in with load? Seems to be a problem with some machines. Thanks."
yes/no,Is this durable enough to be put out on a covered deck? My deck doesn't get direct sun and is pretty protected from the elements.
yes/no,I have a wall switch. My current insinkerator has a cover that will activate the unit.Will the cover control plus unit operate the same way ?
yes/no,Will this fit a ge profile dishwasher?
yes/no,Does the filter include a cartridge?
yes/no,Is an installation kit required for this model?
yes/no,Will this fit WFW9250WW and WED9250WW
yes/no,will this fit my whirlpool fridge #ed5gndxwd00?
yes/no,will it fit GE model number JGBP34WEW1WH?
yes/no,do i need more than 1-100cc for 1qt vac packed quart jar.
yes/no,"Does this include the door chute? All other part schematics for Whirlpool 8201756 show a picture of the chute, also."
yes/no,Will this part work on a Whirlpool Duet Mod# GEW9250PW0 Ser#MR5054144?
yes/no,Are they machine washable and reusable?
yes/no,"Does this fit the Monogram 36"" gas range ZGP364NRRSS? Looking for something to sit on top of grill in middle, thanks!"
yes/no,will it fir Maytag MAH5500 series?
yes/no,Has anyone had an issue with leaking from the cartridge after it's been changed?
yes/no,Do you have to have a down draft with this cooktop?
yes/no,Does this work w/ Model Number J BS55D M2WW lights still come on but front right burner stopped working on us issue facing with cooking stove Thanks
yes/no,have maytag washer modelmah6500aww will this valve work??
yes/no,is this element will fit my whirlpool model RF262LXSBO
yes/no,"Good morning. I have a GE refrigerator and I need to change the main control board ""EBX1005G01 REV M"". Does ""GE WR55X10942"" works perfectly?"
yes/no,Can this be installed vent free?
yes/no,"will it work on a 10"" ceiling?"
yes/no,Would this fit for a Hot Point Brand Range ?
yes/no,Will this pump assembly fit a Maytag 4000 ModelMHWE450WW01
yes/no,"This site says 5 year warranty, the box says 1 year warranty, the paperwork inside the box says 90 day warranty! Is there a warranty??"
yes/no,"States it ""makes"" 12lbs of ice daily. Can it make and more importantly store 12lbs of ice?"
yes/no,Does this knob fit a GE Model GTDP180EDOWW Dryer?
yes/no,will the extender work if my stove top is slightly higher then counter top?
yes/no,Can you hang this on a wall?
yes/no,will this fit my Magic Chef range model# cgr3742cdc
yes/no,is the color of this vent grill black
yes/no,does this filter fit into the drop humidifier EE-5301?
yes/no,"I have 2 bathrooms back to back. One vent is 3"", the other is 4"". Can I use this vent to tie both vent lines into? Its less work to use a single vent."
yes/no,will this work on jenair A106
yes/no,will this work for NXR range?
yes/no,Will this ignitor work in a hgs435uc?
yes/no,will this ice maker fit a whirlpool GS6SHEXNBOO?
yes/no,Is there an on/off switch with this replacement ice maker?
yes/no,can it be used with bathroom exhaust fan
yes/no,I want to keep my foster kittens from going from room to room; I want to cut the strips to fit the folding doors. Can I?o
yes/no,I checked my manual but it didn't list a part number. Will this work with model WM3550H?
yes/no,Will the fridge be installed for me? I do not know how to install one
yes/no,Will this replace a ZEM200SY 002 I currently own that is not working IN the space I currently have?
yes/no,Does it filter well?
yes/no,can the unit be vented out of the wall and not the roof
yes/no,Does this come with installation instructions?
yes/no,Does it come with the dryer?
yes/no,Will this fit Roper model RTW4440
yes/no,will this fit Whirlpool Washer model # ghw9400pl0?
yes/no,"My range has a board that looks just like this with part number 316455520. It's a Kenmore 790.71319705, Is this board compatible?"
yes/no,Does it make crushed ice also?
yes/no,Does low ice production mean that it is time to change the filter?
yes/no,does it fit the kitchen aid coffee pot model kcm140?
yes/no,Will this work on a whirlpool md wed9450wr0
yes/no,Is the filter removable and dishwasher safe?
yes/no,Will this fit a Maytag washer model MAV95010EW?
yes/no,do I need ventilation with an induction cooktop?
yes/no,Can this filter work with Samsung RS265TDRS refrigerator?
yes/no,"I have amana model tx21vw, will this replacement ice maker fit? thankyou!"
yes/no,Will this fit Jenn air model DW731W?
yes/no,do i use tap water in the machine?
yes/no,"Will this part fit Whirlpool Model MH6140XKQ. If not, do you have a replacement Grill Vent?"
yes/no,"Would this be effective for a pair of jeans? Doing a dozen of: socks, underwear, shirts. Loads to small to take to the laundrymat"
yes/no,"good afternoon, would like to know if this kit is compatible for Cavaliere-Euro model SV218Z2-I42 42 Inch 900 CFM Island Mounted Stainless Steel Range"
yes/no,does it come with a cord
yes/no,Should I take out the charcoal filters if I'm venting to the outside?
yes/no,Does this fit model 106. 595592992 kenmore
yes/no,"will this fit an LG DLEX3470 dryer? the part # on my (broken) filter says ""ADQ566564 &gt;pp&lt; SC08,03"". thanks!"
yes/no,CAN THESE KNOB FIT A 317B6641P001
yes/no,Does this product use wicks
yes/no,"Hi, I have a GE stove, one large burner and three small burners. Will these fit? Thanks"
yes/no,will this work in Thermador freezer T181?
yes/no,"My wife wants a front loading freezer like this one, but he's not as flexible as she used to be, can anyone recommend a stand for this?"
yes/no,Is this kit compatible with Maytag HYG3460AWW? I could verify the belt but am having trouble with the rest.
yes/no,is this correct part for whirlpool model number lsr7233dq0
yes/no,"Can you tell me what the width measure is on the back side. I believe the 36"" is the measure on the front doors."
yes/no,"Does it have to be a 5/8 connection hose? It seems like the 3/4 size would be better, provide more gas, and it is what my old stove has."
yes/no,Is this model compatible with samsung RS21HDUSW1 ?
yes/no,"is this range hood 30"" inch wide because it's showing different on product description"
yes/no,"Has Amazon fixed the ""Bait and Switch"" with customers? The customer comments are rife with ordering ""B"" filters, but getting inferior ""A"" models."
yes/no,Does this come with the drip tray and chrome rail?
yes/no,Is it 100% Stainless steel? I have seen so called Stainless units that have only the walls in stainless and the top of it is not stainless and rusts.
yes/no,will knobs fit kenmore#362.75275692
yes/no,Does this set come stackable
yes/no,Can it replace a 9890 Kenmore Water filter?
yes/no,Does this fit Model #RFG297AAS?
yes/no,Does this handle fit washer model GHW9100LW1
yes/no,Does it fit GE model 164D3871P001? Thanks.
yes/no,does this filter fit model 72053 refrigerator
yes/no,does the glass have a greenish tone? I/m trying to match it with a light fixture.
yes/no,does the whirlaway 191 have an internal fuse?
yes/no,are there internal threads (female) at ends of filter??
yes/no,Does this come with ALL the needed accessories to make sure the mini-keg hooks up to the machine?
yes/no,Does it fit model 18B4AW6
yes/no,Is it a replacement for the Whirlpool 4392857?
yes/no,can this replace amana 106 626639?
yes/no,"Hi, does this fit my Samsung RFG237?"
yes/no,"This one is a bit different than the original. It comes with a special paper-like shield. Does the shield need to be put on, what if I don't?"
yes/no,can you get a warranty
yes/no,"My broan range hood model is 42000EX-L, 220/240 volts, 50/60 hz, 2.5 amps, date code 89J, &amp; fan diameter is about 6"". Will your item fit? Thanks!"
yes/no,will this grill fit whirlpool gh5184xps4
yes/no,I need a plastic GE knob with a D hole. Is this it?
yes/no,Does this motor come with a small drive pulley that goes on the end of the shaft for the belt? I don't see one in the picture...
yes/no,"I am looking for a filter to screen out weed seeds from ditch water, will this do the trick?"
yes/no,Will this pump fit model MHW600XW2?
yes/no,Does this ice maker make the nugget ice like they use at Sonic?
yes/no,"Will this be accurate if I live at 5,000 ft elevation?"
yes/no,"Will this fit Whirlpool #325FDAB02? It's the same part number I got from the place where I purchased the refrigerator, but I don't see this model num"
yes/no,DOES IT RINSE IN COLD WATER
yes/no,does this sump assembly fit LG dishwasher Model LDF6920ST?
yes/no,"will these fit a Tappan electric range? Ordered some others but had ""bulge"" around inside perimeter and wouldn"
yes/no,is this for 190 degrees
yes/no,Would this fit model #10651102110?
yes/no,Do you have Whirlpool Stove Surface Burner Element (6 and 8 inches?
yes/no,Does this kit include - both the Coin slide on top and the Locking coin vault below it?
yes/no,Is there a Shabbath mode?
yes/no,WILL THIS FIT AN ED5PHEXNL00 WHIRLPOOL
yes/no,Will this fit my drawer says da63-05391
yes/no,Will this work in model 110.45872401?
yes/no,Will it hold up under repeated use daily. What about a family with 3 small kids. The mini washer and mini spinner will be used daily.
yes/no,I have many left over Brita filters from my previous pitcher. Will they fit them on this?
yes/no,Does this match with whirlpool ice white colored appliances?
yes/no,can the flip down lids be removed?
yes/no,I own the ED5KVEXVB model. Will this cap work?
yes/no,"Does this portable washer come with casters, so it can be moved easily??"
yes/no,Does the necessary equipment for installation come with these?
yes/no,Is it recommended to put gravel down before setting the pavers?
yes/no,does this have a stainless steel tub?
yes/no,will this fit GE oven model JBP30C0B1CC
yes/no,"Is this filter a filter 4? I ordered the same number that the manual says and got a filter 2, which does not fit"
yes/no,"Just install one by my contractor, but I was very shockd because of the drameticlly loud sound when I turn on. Seems not right, can anyone help me?"
yes/no,Do these bags have the 4 holes to fasten to the compactor. Thank you.
yes/no,Are the dimensions 24 x 15 x 6 inches as stated in the description? I need to replace a unit which is 19 x 10 inches.
yes/no,"I need a fridge this size for my bedroom, can it be plugged into a normal wall socket?"
yes/no,Will this fit my lg washer #wm2250c front load no # on my manuel
yes/no,Will these fit and work correctly in the Kenmore Whole House Water Filter: model # 38445
yes/no,Has anyone bought this to work with a GWF compatible fridge?
yes/no,I have an LG LFX28979ST/00. Will this filter fit my refrigerator? It is the same model number as the one at sears for my refrigerator model...
yes/no,Does the ground wire (green) have a circular end on it? The pic looks like it's just a straight wire at the end.
yes/no,can I just throw them in trash can that has a mix of boxed and sealed foods?
yes/no,"If plugged into an iPad, can it send push notifications to an Android?"
yes/no,Do this fit the Frigidaire Washer model# LTF2940EEO have anyone put it on this washer before.
yes/no,Does this double faucet unit have the ability to turn off one of the co2 lines--if I only wanted one keg at a time?
yes/no,"I have an Estate brand electric stove, no model number. I know it's made by Whilrpool. Will this fit?"
yes/no,Will this work for Samsung Dryers?
yes/no,"My stove is 26"" deep but this hood is only 22"". Does it work well with smoke/smell from the front burners?"
yes/no,"I had a inglis dryer is running but no heat, model number IED4400VQ1, is this the element I need"
yes/no,is code f2 a problem for you?
yes/no,Does Frigidaire sell additional shelves for this unit? We'd like to have more than the 4 it comes with.
yes/no,does this fit 18 jl model 34999
yes/no,Will this coil cartridge fit my Jenn-Air Range JES9860AAB?
yes/no,Is this for 3 filters as there are 3 boxes in product description. Also is this an OEM filter?
yes/no,does it check for a leaky cap?
yes/no,Is there a cheaper replacement for Part No. PS898441?
yes/no,Do you install these filters with the metal reinforced side up?
yes/no,will this fit frigidaire model FRS26R4AB? the part # matched my manual
yes/no,Do you ship to the big island Hi.
yes/no,Do you have a water filter bypass plug for a GE Profile Model PSH23PSRASV Refrigerator?
yes/no,is there a matching dryer for this washer
yes/no,Was told the bearings for the Whirlpool WFW9200SQ00 were serviced only with the rear tub. Can you indeed replace bearings only? Thanks
yes/no,is it include front cover?
yes/no,will it fit my whirlpool WF9050XW00?
yes/no,DOES THIS REALLY STAND 42 INCHES HIGH? I AM SHORT
yes/no,Will this Rack work with JTP55SP2SS double wall oven? The model I own has two humps on either side.
yes/no,Does the Speed Queen 432 have a buzzer to indicate that the wash cycle is done?
yes/no,will this fit model FSC23F7DB5?
yes/no,will this work on a 1968 whirlpool stove?
yes/no,Does this filter fit model #8975?
yes/no,"I am looking for the most recent one to buy &amp; am new to this, is this the newest model?"
yes/no,is there a warranty on this item and extended warranty spt18...sd9239w
yes/no,Does it fit model #34351
yes/no,Will this work on a refrigerator water line?
yes/no,Does this require a drain?
yes/no,Does anyone else's humidifier emit blue water after s/he puts in the replacement cartridge? It is turning my entire tank of water blue for some reason
yes/no,Will this cover also fit on the mk2?
yes/no,Will it fit Kitchenaid KUDC10FXSS5 model?
yes/no,Does the extended warranty cover the set or do you have to buy one for both the washer &amp; dryer? Did you buy the extended warranty &amp; feel it's worth $
yes/no,Will this work on an Admiral Dryer Model# LNC7766A71?
yes/no,Will these burners fit in my Whirlpool Range Model #Rf365PXMW1?
yes/no,Do they fit kitchen aid KGCS105GSS11?
yes/no,Can your plastic freezer bins withstand a freezer temp of -80C?
yes/no,is the wb2x9154 5 aps for ge oven
yes/no,Will it fit kenmore Elite fridge model #401.41003011?
yes/no,will this replace a (700854-4 part no.) jenn.air knob?
yes/no,Can high efficient washing machine be kept in an outside storage shed?
yes/no,"Can the knob be oriented with ""off* at 9 o'clock rather than 12 o'clock position?"
yes/no,will they fit an old caloric range?
yes/no,will these fit a GE Hotpoint Electric stovetop?
yes/no,Does the washer and dryer come with each of its own pedestal/drawer?
yes/no,Will it fit into a 27 inch wide space?
yes/no,is this washer nfs rated for use in a public place?
yes/no,Will this fit the Kenmore Series 90 Washer model 110.28922790
yes/no,Can i go straight up and then vent it out above the 8 ft ceiling line (meaning straight shot upwards) And do i have an option to go 90 degrees?
yes/no,Is there a light
yes/no,does this fit the pshs6rgxcdss?
yes/no,Can this cooktop be converted to use propane?
yes/no,"Has anyone found this to fit a Maytag Model# CRE 7500 ACW? It's not on the list, but looks possible. Thank you."
yes/no,Will this housing hold the d 20 cartridge ?
yes/no,Is it comparable to nugget ice (chewable ice) machine that you see in hospitals?
yes/no,IS THIS THE RIGHT ELEMENT FOR JBS02BB1
yes/no,"will these fit the older model dcs range grates, 2002 model?"
yes/no,does this knob fit a ge model DVLR223EG7WW dryer
yes/no,I have a Kenmore regrigerator which uses a water filter with a replacerment part # ADQ36006102. Is this part a replacement?
yes/no,does it have an internal heater?
yes/no,"Do they bake well? I have double ovens now,but cakes fall before they are done"
yes/no,Will this fit my Frigidaire FRS26HF5A?
yes/no,Is the door reversible??
yes/no,does pump work with maytag model mhwe300vf00
yes/no,Will it fit Model MDBH955AWS ?
yes/no,is this replacement for part number w10254338
yes/no,"I replaced my H300 filter with the Omnipure ELF-5M-KDF-P Carbon Block Filter, but I see particles floating that weren't there before. Is that normal?"
yes/no,Is the exhaust on the right side?
yes/no,Will this fit Roper model RT18BKXKQ03
yes/no,Is there an expiration date on any of the tests?
yes/no,iS IT NORMAL TO MAKE LOUD NOISE AT BEGINNING?
yes/no,Does the kit come with faucet adapters
yes/no,can i still use dryer until its fixed
yes/no,"Will be placed in laminated wood countertop. A 3.5 in clearance from the back wall and ref rig. Is there any danger from flames ,heat on surfaces?"
yes/no,Do you have extensions for a 10 ft ceiling
yes/no,Do you Houl away the old washer?
yes/no,will this work with firgidaire model LEQ2152EE0
yes/no,Does this filter work with samsung rf28hfedbsr/AA
yes/no,will this fit a Maytag dishwasher model number MDBTT60AWW also is it white ?
yes/no,Does this come with hanging basket inside?
yes/no,"I have this cooktop and need a replacement, but dont have or necessarily want the stainless ring around the edge of the cooktop. Do you have a black"
yes/no,Is this the same size as the A122?
yes/no,"Does one install this by lifting the front end of the washer, sliding the pan under and then lifting the back of the washer to finish the job?"
yes/no,Does it fit JennAir model C202?
yes/no,Does this dryer have a steam dry capability to remove wrinkles?
yes/no,I just need the air gap cap. Can it be easily removed from the rest of the assembly?
yes/no,is this that fingerprint texture on the outside
yes/no,Is it compatible with the Maytag LDE 713 model? It appears to be the same size and shape.
yes/no,"Will these knobs fit whirlpool clean top range,model no. rf376pxyq4/"
yes/no,Does it come sealed in plastic from factory like the one from purchased from Samsung does?
yes/no,is it compatible withe the kitchenaid side by side fridge
yes/no,Can this unit be vented through the wall?
yes/no,Do they come in other colors?
yes/no,Is it the same shape as this key? http://www.amazon.com/Whirlpool-Part-...
yes/no,I have tried turning it back and forth but it won't budge...should I keep forcing it?
yes/no,Is shipping free?
yes/no,Can this be used on gas stove when making polenta which needs low heat.
yes/no,Will you also install both the washer and electric dryer?
yes/no,will this work on samsung wf206/xaa model
yes/no,"Do you ""have to"" turn off the household water in order to replace this filter in an LG frig?"
yes/no,"Does this make ""sonic"" ice? also called pearl ice, soft ice"
yes/no,does it come with damper for backdraft and bird mesh
yes/no,Is this a ducted hood?
yes/no,does it fit jennair?
yes/no,Will the Frigidaire hand magnums?
yes/no,Do you just cut this in half with tin snips and slide part of it back over itself and then tape it?
yes/no,I'd like to know from those who rated this fridge over a year ago how it is holding up. Would you buy this again?
yes/no,Does this have a vent to the outdoors?
yes/no,Can the lights be turned off completely?
yes/no,Can both units be hung from the wall?
yes/no,Is there a ductless option for installation?
yes/no,Will this fit my WFW86HEBWH Whirlpool washer?
yes/no,Is this the correct element for a Frigidaire wall oven RBE E 94?
yes/no,will this work for frigidaire model lfgf3014lwc
yes/no,Does it fit JES9860?
yes/no,"is this replica? because my fridge came with a blue filter, this purple filter leaks,clogs and water taste bad."
yes/no,"I need a 42 inch hood, but in the description it says that it is 45 inches wide. Do I need to make room for a 45 inch wide hood?"
yes/no,Does this fit model # fef336ask
yes/no,Does using these gutter guards void the roof warranty?
yes/no,Is this a replacement for a Samsung DA97-06318A ( IMC701)
yes/no,"Can the freezer and refrigerator sections be swapped, so the smaller top section can be used as a refrigerator and the larger lower section a freezer?"
yes/no,Does this machine have a limit of how hot the water can be? (The Basecamp washer instructions say the water used should not exceed 113 F.) Thanks
yes/no,Can I install it myself?
yes/no,Does it fit Kitchen Aid model # KFCS22EBMS8
yes/no,is that the same as sears 2213350?
yes/no,Does this fit a Model GU1200XTKT0 ?
yes/no,Will your Broan filter S97007696 fit in a Nautilus hood?
yes/no,will it work with model 134126300&Eacute;
yes/no,can you bake corn bread on this without it burnding.
yes/no,Is a keg included?
yes/no,Does this model have a clock on the display? Thanks
yes/no,Does this filter work for Bosch b22cs80sns?
yes/no,"I am using the transformer for a kotasu in the US. I have blown 2 fuses, and the transformer came with a blown fuse. Is the transformer defective?"
yes/no,Does it fit LSG-1000
yes/no,Mine is kitchenaid KUDS01FLSS6. Tha manual says the part number is 8535568. But your item says Whirlpool. Is it the right part for my washer. Thanks
yes/no,I prefer hand washing my table settings but don't do not always have time to hand dry. Can you use this to dry only?
yes/no,I want to vent out the rear wall instead of through the roof. Can the duct bend into a 90 degree turn?
yes/no,Is this a smooth touch can opener where the lid doesn't fall into the can?
yes/no,Can by wave pots be used in regular stove
yes/no,will these range replacement knobs fit a tappan electric stove ?
yes/no,"If I do not have a ""hold"" set on the remote, but I select ""read temp from this device"", will the main thermostat use the remote temp when following a schedule?"
yes/no,"Is this a replacement knob for my GE JGB900 series (4 years old) gas range? The original knobs have a ""half"" moon type of opening on the back."
yes/no,Will it fit Frigidaire Model # FRS6R5ESB6?
yes/no,"I have an old Tappan kitchen, 4 burners...will it fit mine?"
yes/no,can these be used for gas stove burner?
yes/no,will this work on Whirlpool model # LSQ900LQ0 ?
yes/no,4 magnets on each corner of a letter size paper attached to a fridge/magnetic board. would it work?
yes/no,My hydro cell does not float in the water -- it sinks to the bottom. Is that okay?
yes/no,Is replacement needed if I already have softened water? My water softener is highly effective. I see no minerals at all and the water tastes great.
yes/no,will they fit a a maytag cooktop too
yes/no,Can this unit be installed with a recirculating kit? Can't vent outside.
yes/no,"This filter says Filter2, is there another Filter1 somewhere in the refrigerator ?"
yes/no,Is this item everpure h-300 compatible?
yes/no,Will the 2198597A Ice Maker Kit work on my Kenmore Model No. 10655613400
yes/no,Will this ice maker work with Amana model DRS2663BW?
yes/no,can I change the washer door to open from the otherside
yes/no,Does this include installation and removing old oven
yes/no,Have you used the baking drawer on the gas version? I don't quite understand what you do with it....
yes/no,Are they the push in and turn type knobs for the stove top?
yes/no,I see it says 9.95 for the used but as I keep scrolling down it states 49.95 is it 9 plus shipping? Does it operate
yes/no,My Kitchen Aid side by side is model #KSRV22FVBTOO. It is a type 22 MSSA. Will this Whirlpool 4396508 work for me?
yes/no,Will this fit on my range model # JSP50GN28G ?
yes/no,can it be removed
yes/no,Will this work on my Whirlpool LER4634EQ1?
yes/no,Does this have the assembly and the latch? Thanks
yes/no,does this ice maker also keep the ice frozen?
